keys,en,zh,cmn,ja,ko,es,ru
BACK,Back,返回,返回,戻る,돌아가기,Volver,Вернуться
HOMEPAGE,Back to Homepage,返回主頁,返回主页,ホームページに戻る,홈페이지로 돌아가기,Volver a la página principal,Вернуться на главную страницу
SETTINGS,Settings,設定,设置,設定,설정,Configuración,Настройки
NEW_GAME,New Game,新遊戲,新游戏,新しいゲーム,새 게임,Nuevo juego,Новая игра
CONTINUE_GAME,Continue Game,繼續遊戲,继续游戏,ゲームを続ける,게임 계속하기,Continuar juego,Продолжить игру
QUIT_GAME,Exit Game,離開遊戲,离开游戏,ゲームをやめる,게임 나가기,Salir del juego,Выйти из игры
GUIDE_SKIP_STORY,Hold the right mouse button to skip the story,長按右鍵以跳過劇情,长按右键以跳过剧情,右クリックを長押ししてストーリーをスキップ,오른쪽 클릭을 길게 눌러 스토리 건너뛰기,Mantén presionado el botón derecho para saltar la historia,"Долго удерживайте правую кнопку, чтобы пропустить сюжет"
ME,Serena,塞雷娜,塞雷娜,セレナ,세레나,Serena,Серена
FRIEND,Ellie,艾莉,艾莉,エリー,엘리,Ellie,Элли
PRINCIPAL,Principal,校長,校长,校長,교장,Director,Директор
DOCTOR,Doctor,醫生,医生,医者,의사,Doctor,Врач
DOCTOR_ASSISTANT,Doctor’s Assistant,醫生助手,医生助手,医者の助手,의사 조수,Asistente del doctor,Ассистент врача
WAITER,Waiter,服務員,服务员,ウェイター,웨이터,Camarero,Официант
SALES,Shopkeeper,售貨員,售货员,店員,점원,Vendedor,Продавец
ROBBER,Robber,強盜,强盗,強盗,강도,Ladrón,Грабитель
BULLY,Bully,惡霸,恶霸,いじめっ子,폭력배,Matón,Хулиган
BULLIED,Ordinary Student,普通學生,普通学生,普通の学生,평범한 학생,Estudiante común,Обычный студент
INSURANCE_AGENT,Insurance Agent,保險經紀,保险经纪,保険ブローカー,보험 중개인,Corredor de seguros,Страховой агент
MERCHANT,Merchant,商人,商人,商人,상인,Comerciante,Торговец
HOSPITAL,Hospital,醫院,医院,病院,병원,Hospital,Больница
HOME,Dormitory,宿舍,宿舍,寮,기숙사,Dormitorio,Общежитие
LECTURE_HALL,Lecture Hall,講堂,讲堂,講堂,강당,Auditorio,Лекционный зал
SUPERMARKET,Supermarket,超市,超市,スーパー,슈퍼마켓,Supermercado,Супермаркет
RESTAURANT,Restaurant,餐廳,餐厅,レストラン,레스토랑,Restaurante,Ресторан
ITEM_0,Knife,刀,刀,ナイフ,칼,Cuchillo,Нож
ITEM_1,Grenade,手榴彈,手榴弹,手榴弾,수류탄,Granada,Граната
ITEM_2,Rat,老鼠,老鼠,ネズミ,쥐,Rata,Крыса
ITEM_3,Red Bull,紅牛,红牛,レッドブル,레드불,Red Bull,Ред Булл
ITEM_4,Sleeping Pills,安眠藥,安眠药,睡眠薬,수면제,Pastillas para dormir,Снотворное
ITEM_5,Alcohol,酒,酒,酒,술,Alcohol,Алкоголь
ITEM_6,Mysterious Potion,神秘藥水,神秘药水,謎の薬水,신비의 약물,Poción misteriosa,Таинственное зелье
ITEM_7,Invisibility Cloak,隱形斗篷,隐身斗篷,透明マント,투명 망토,Capa de invisibilidad,Плащ-невидимка
ITEM_8,Amulet,護身符,护身符,お守り,부적,Amuleto,Амулет
